url,title,description,image,date,hnurl
https://tecadmin.net/install-firefox-developer-edition-on-ubuntu/,How to Install Firefox Developer Edition on Ubuntu & Mint,"Firefox Developer Edition is the perfect browser for Ubuntu users who want to take their web development skills to the next level. It comes packed with powerful features that make coding, debugging, and testing websites easier than ever. For starters, it has a built-in JavaScript debugger that makes it simple to identify and fix errors.",https://tecadmin.net/wp-content/uploads/2015/12/download-firefox-developer-edition-for-ubuntu.png,2023-12-29T08:20:10.149846594Z,
https://www.newyorker.com/tech/annals-of-technology/its-time-to-dismantle-the-technopoly,It’s Time to Dismantle the Technopoly | The New Yorker,"As technology accelerates, we need to stop accepting the bad consequences along with the good ones.","https://media.newyorker.com/photos/6579d7caab2df2d0c302efb9/16:9/w_1280,c_limit/Newport_Technopoly.jpg",2023-12-29T08:25:47.633484984Z,
https://kidnonfic.substack.com/p/tech-stuff-for-ten-yr-olds,Tech stuff for Ten-yr-olds - by Camille Hartsell,Chromebook; iPad Mini; Kindle Paperwhite Kids; Nintendo Switch,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F555c16f2-3b31-441a-a2c8-a39d05996694_4032x3024.jpeg",2023-12-29T08:35:23.907549936Z,
https://shop.boox.com/blogs/news/5-tips-for-taking-in-book-notes,5 Tips for Taking In-Book Notes with BOOX – The Official BOOX Store,BOOX E Ink devices are highly regarded for their in-book note-taking features. Here you will learn how to maximize the benefits of these note-taking tools while reading.,http://cdn.shopify.com/s/files/1/0604/6410/3654/files/01_3afdcd4a-6478-4b2f-ac60-07113ab9b7b6.jpg?v=1678763747,2023-12-29T09:53:57.525515958Z,
https://www.newyorker.com/magazine/2023/11/20/a-coder-considers-the-waning-days-of-the-craft,A Coder Considers the Waning Days of the Craft | The New Yorker,Coding has always felt to me like an endlessly deep and rich domain. Now I find myself wanting to write a eulogy for it.,"https://media.newyorker.com/photos/654bf23c9d37df3d9f9cd353/16:9/w_1280,c_limit/231120_r43375.jpg",2024-01-01T06:45:34.194237759Z,
https://medium.com/the-year-of-the-looking-glass/average-manager-vs-great-manager-cf8a2e30907d,Average Manager vs. Great Manager | by Julie Zhuo | The Year of the Looking Glass | Medium,Explained in 10 sketches,https://miro.medium.com/v2/resize:fit:1200/1*pN0q7fJWoIw59mXAz46x3Q.png,2024-01-01T07:07:46.95619783Z,https://news.ycombinator.com/item?id=10045680
https://python.langchain.com/docs/modules/model_io/prompts/few_shot_examples_chat,Few-shot examples for chat models | 🦜️🔗 Langchain,This notebook covers how to use few-shot examples in chat models. There,https://python.langchain.com/img/parrot-chainlink-icon.png,2024-01-01T09:43:35.079084612Z,
https://python.langchain.com/docs/modules/model_io/chat/quick_start,Quick Start | 🦜️🔗 Langchain,quick-start},https://python.langchain.com/img/parrot-chainlink-icon.png,2024-01-01T09:45:08.899902751Z,
https://python.langchain.com/docs/use_cases/summarization,Summarization | 🦜️🔗 Langchain,Open In Colab,https://python.langchain.com/img/parrot-chainlink-icon.png,2024-01-01T14:20:55.069527984Z,
https://ryanholiday.net/this-is-the-word-im-trying-to-live-by-this-year/,This is the Word I'm Trying to Live By This Year - RyanHoliday.net,"The past year has been all about LESS for me. At the end of 2022, actually as part of The Daily Stoic New Year New You Challenge (​new one starting on Jan 1 if you want to join us​), my wife and I picked a word we were going to use as our lodestar for the year. We picked ‘less’ because we felt like we were too busy, too overwhelmed, too stressed, too frustrated. I was just exhausted as December ended and I felt like my health, my family, and my quality of life could not face another year of the same. So as I wrote here, ​in an article​, my goal was: Less. Less commitments. Less drama. Less busyness. Less screen time. Just less. Part of the reason I want less is so I have room for more. More stillness. More presence. Looking back, I think we did a pretty good job. I was strict about passing on stuff I didn’t want to do. I asked my assistant not to schedule appointments or interviews or calls on Fridays. I pushed ​my book​ back a year—which required some serious negotiations with my publisher and facing a lot of ideas in myself about what it meant to not be so busy and always being doing, doing, doing. What did this ‘less’ translate to? Certainly not a lot of ‘nothing,’ which is what I think we suspect we’ll turn into if we start saying that powerful word ‘no’ or if we start slowing down. Instead, what happened is that I did a lot more. I did more school lunches and school drop offs. We went on more trips together. My wife and I hung out more. I spent more time on the book that I delayed, and now it’s much, much better. Now, staring down the barrel of a new year, I intend to continue this trend of less (to get the double benefit, as Marcus Aurelius writes in ​Meditations​, of doing the essential things better). But I also wanted to pick a new word to aim at. This year, the word for me is: Systems. In ​Ego Is The Enemy​, I tell the story of the day of Dwight D. Eisenhower’s inauguration. In 1953, Eisenhower was entering the White House as the newly inaugurated president, having just returned from his parade. As he walked into the Executive Mansion, his chief usher handed Eisenhower two letters marked “Confidential and Secret” that had been sent to him earlier in the day. “Never bring me a sealed envelope,” Eisenhower said firmly. “That’s what I have a staff for.” He wasn’t a snob nor was he being lazy. Eisenhower was a man who lived by systems. He saw the need for an efficient, orderly executive branch, mirroring the way his military units had been. His focus was on delegating, trusting his staff, and maintaining order. As his chief of staff later put it, “The president does the most important things. I do the next most important things.” A system is a way to do more by doing less. By setting up processes—which can be work up front—you find efficiencies. By setting up clear and defined roles, you can effectively delegate. By setting up standards and expectations, you can not only hold people accountable, but you can measure and optimize those processes to be even more efficient. It’s a positive feedback loop. What’s an example of a good system? I’ve talked about ​my notecard system​ before, that’s a system by which I research and write my books. I don’t just wing it. It’s a process by which I—and other writers—try to take an enormous and overwhelming task and try to make it manageable. As Robert Greene, who taught me the notecard system, says, “A lot of books fail because the writer loses control of the research. You are either a master of the material or it’s the master of you.” Sometimes a system is something like that—a process. Other times, systems are a person or a group of people, like Eisenhower was referring to with his staff. “A system,” as Donella Meadows defines it in ​Thinking in Systems​, “is a set of related components that work together in a particular environment to perform whatever functions are required to achieve the system’s objective.” A to do list is a system. A chain of command is a system. A rule that says “I never say ‘yes’ in the room” is a system for making better decisions. In fact, there was another insight from Eisenhower called the Eisenhower Decision Matrix that he would use to prioritize stuff. To separate and distinguish immediate tasks from important ones, Eisenhower would group tasks into a 2×2 matrix: urgent and important (quadrant I), important but not urgent (quadrant II), urgent but not important (quadrant III), and not important and not urgent (quadrant IV). It is a system for channeling focus onto tasks that are truly important and contribute to your long-term goals, rather than just reacting to what seems urgent at the moment. Contrasting with Eisenhower, in ​Ego Is The Enemy​, I also tell the story of John DeLorean, whose management style was once described as “chasing colored balloons.” Coming out of the bureaucratic management style of General Motors, DeLorean tried to make himself the center of everything. The result was chaos—chaos that both fueled his ego (somebody always needed him) and destroyed what was actually a pretty visionary car company. Few of us are that bad, but we could all do better with better systems. Because it’s really easy, when you don’t have a system, to get caught up just winging it–handling whatever is urgent, whatever someone has randomly brought you, or whatever pops up in your email or whatever you feel like doing in the moment. One of the reasons I am deciding to focus on systems this year is that it’s unavoidable. For a long time, I kept my life and my business deliberately very small. Brass Check, my [...]",https://10925d.p3cdn1.secureserver.net/wp-content/uploads/2023/12/reading-scaled.jpg,2024-01-02T05:53:39.166529945Z,
https://medium.com/middle-pause/no-one-really-tells-you-the-hardest-part-of-getting-older-ddd4ec40dc81,No One Really Tells You The Hardest Part Of Getting Older | by Linda Caroll | Middle-Pause | Medium,"The older I get, the more I realize how much I don’t know. But there’s one thing I know for sure.",https://miro.medium.com/v2/resize:fit:1200/1*aQntDB_l9ldKvKnkkBtfSg.jpeg,2024-01-02T06:47:30.495437177Z,https://news.ycombinator.com/item?id=36233381
https://aisupremacy.substack.com/p/top-ai-newsletters-of-2024-on-substack,🔥 Top AI Newsletters of 2024 on Substack,🚦 Discovering Newsletters and bright lights of 2023 A.I. reading. 🔅,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F3db78062-7928-485b-a934-0d33466c66cb_960x960.jpeg",2024-01-03T05:22:50.554532801Z,
https://chrisguillebeau.com/36-ways,the art of non-conformity,"<p>To live better means that you&#8217;ll live differently—somehow, you&#8217;ll make some kind of change. Your life will be different tomorrow than it is today. Naturally, some changes are easier than others. By regularly exposing yourself to new ideas and practices, you can learn to think and live differently. New ideas also tend to build on&hellip; <a class=""more-link"" href=""https://chrisguillebeau.com/36-ways/"">Continue reading <span class=""screen-reader-text"">36 Ways to Live Differently</span></a></p> ",https://content.chrisguillebeau.com/wp-content/uploads/2022/02/pencil-ways.jpg,2024-01-03T05:36:59.532564903Z,https://news.ycombinator.com/item?id=34964621
https://newsletter.pragmaticengineer.com/p/the-pragmatic-engineer-in-2023,The Pragmatic Engineer in 2023 - by Gergely Orosz,"The articles you enjoyed most this year, my personal favorites, and a recap of an unusually turubulent year in tech.","https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F60109afa-3558-4dd8-b143-c4d3a67f4644_420x300.png",2024-01-03T05:46:48.833416008Z,
https://www.wired.com/story/taiwan-epicenter-of-world-myopia-epidemic/,"The World Is Going Blind. Taiwan Offers a Warning, and a Cure | WIRED",So many people are nearsighted on the island nation that they have already glimpsed what could be coming for the rest of us.,"https://media.wired.com/photos/64de743982d37ced55dff889/191:100/w_1280,c_limit/WIRED-LEDE-final%20(1).jpg",2024-01-03T05:59:01.969930845Z,https://news.ycombinator.com/item?id=38782482
https://www.thecaringtechie.com/p/how-to-disagree-at-work-without-rubbing,How to disagree without rubbing people the wrong way,"“The supreme art of war is to subdue the enemy without fighting.” — Sun Tzu Sun Tzu’s words, though spoken in the context of warfare, carry a profound message that transcends the battlefield. With this in mind, mastering the art of disagreement without conflicts is possible, but it requires courage, diplomacy, compassion, and a lot of trial and error.","https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fffa1858c-f477-4e7e-8bee-3169ba475766_2048x1365.png",2024-01-04T17:29:10.913750861Z,
https://magazine.sebastianraschka.com/p/10-ai-research-papers-2023,10 Noteworthy AI Research Papers of 2023,"This year has felt distinctly different. I've been working in, on, and with machine learning and AI for over a decade, yet I can't recall a time when these fields were as popular and rapidly evolving as they have been this year. To conclude an eventful 2023 in machine learning and AI research, I'm excited to share 10 noteworthy papers I've read this year. My personal focus has been more on large language models, so you'll find a heavier emphasis on large language model (LLM) papers than computer vision papers this year.","https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fc0046298-1059-4538-bcd8-dfcfc863d7c5_1254x810.png",2024-01-05T05:55:58.146830758Z,https://news.ycombinator.com/item?id=38817536
https://psyche.co/guides/how-to-open-up-to-serendipity-and-create-your-own-luck,How to be lucky | Psyche Guides,Most of us think that luck just happens (or doesn’t) but everyone can learn to look for the unexpected and find serendipity,https://images.aeonmedia.co/images/b73957c6-5438-40f0-9860-36e760ffb97e/original.jpg,2024-01-05T07:03:56.944897728Z,https://news.ycombinator.com/item?id=25881742
https://blog.gitguardian.com/8-easy-steps-to-set-up-multiple-git-accounts/,8 steps to manage multiple GitHub accounts | GitGuardian Blog,"Any developer has to set up his Git config at least once. Our cheat sheet will help you make this process a breeze, ensuring that you never push with the wrong profile again!",https://blog.gitguardian.com/content/images/size/w1200/2021/10/21W43-Blog-Git-Accounts-Cheatsheet-Final.png,2024-01-06T07:17:01.031065939Z,https://news.ycombinator.com/item?id=29038187
https://medium.com/@ryanholiday/these-14-small-mindset-shifts-will-change-your-life-5811a4a072c2,These 14 Small Mindset Shifts Will Change Your Life | by Ryan Holiday | Medium,"For the most part, we can’t change the world. We can’t change the fundamental facts of existence–like the fact that we’re going to die. We…",https://miro.medium.com/v2/resize:fit:1200/1*YuLzbZ8o_8ih9vs_zJ3bYg.jpeg,2024-01-06T07:53:38.351419532Z,
https://hbr.org/2021/06/words-and-phrases-to-avoid-in-a-difficult-conversation,Words and Phrases to Avoid in a Difficult Conversation,"When you’re in the middle of a difficult conversation, it’s common to focus solely on yourself: your ideas, your viewpoint, your feelings. But a “me-centric” approach can backfire. To achieve your goal, you need to think beyond yourself. While crafting your message, you must keep the other person’s feelings and opinions in mind, too. To do so, avoid these common mistakes: don’t assume your viewpoint is obvious; don’t exaggerate; don’t challenge someone’s character or integrity; don’t blame others for your feelings; don’t tell others what they should do; and don’t say “It’s not personal.”",https://hbr.org/resources/images/article_assets/2021/05/Jun21_07_Vellekoopleon.jpg,2024-01-07T05:47:00.059871029Z,https://news.ycombinator.com/item?id=27659717
https://amontalenti.com/2023/11/25/dependency-rejection,Dependency rejection,"Sam Altman once said: ""Minimize your own cognitive load from distracting things that don’t really matter. It’s hard to overstate how important this is, and how bad most are at it. Get rid of distractions in your life. Develop very strong ways to avoid letting crap pile up."" In programming,…",http://amontalenti.com/wordpress/wp-content/uploads/2023/11/sakura-craft-pen.jpg,2024-01-07T06:08:05.031445521Z,https://news.ycombinator.com/item?id=38449026
https://fs.blog/munger-operating-system/,The Munger Operating System: A Life That Works,Charlie Munger offers a very wise operating system for leading a good life in his 2007 USC Law School Commencement Address.,https://149664534.v2.pressablecdn.com/wp-content/uploads/2016/04/The-Munger-Operating-System.jpg,2024-01-08T05:48:46.151333895Z,https://news.ycombinator.com/item?id=32468131
https://hynek.me/articles/productive-fruit-fly-programmer/,How I’m a Productive Programmer With a Memory of a Fruit Fly,A love letter to tools that changed everything for me.,https://static.hynek.me/cards/productive-fruit-fly-programmer.png?c844f5a,2024-01-08T12:29:33.010816674Z,https://news.ycombinator.com/item?id=32900164
https://www.cairn.info/dossiers-2023-25-page-1.htm,L’intelligence artificielle va-t-elle prendre le pouvoir ? | Cairn.info,,https://www.cairn.info/vign_rev/CRNDOSS/CRNDOSS_062.jpg,2024-01-09T05:16:45.736650775Z,
https://nymag.com/intelligencer/article/ai-artificial-intelligence-chatbots-emily-m-bender.html,"ChatGPT Is Nothing Like a Human, Says Linguist Emily Bender",And a chatbot is not a human. And a linguist named Emily M. Bender is very worried what will happen when we forget this.,https://pyxis.nymag.com/v1/imgs/920/1f7/2fa484190172e09ac140a16b232a4d6533-0523FEA-AIEthics--IAN7000-flat.1x.rsocial.w1200.jpg,2024-01-09T05:42:04.965998116Z,https://news.ycombinator.com/item?id=34988118
https://github.blog/2023-10-30-the-architecture-of-todays-llm-applications/,The architecture of today's LLM applications - The GitHub Blog,Here’s everything you need to know to build your first LLM app and problem spaces you can start exploring today.,https://github.blog/wp-content/uploads/2023/10/LLMapparchitecturediagram.png,2024-01-10T05:52:32.703635478Z,https://news.ycombinator.com/item?id=38332137
https://newsletter.ruder.io/p/nlp-research-in-the-era-of-llms,NLP Research in the Era of LLMs - by Sebastian Ruder,5 Key Research Directions Without Much Compute,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fe230fdb3-f786-4328-9065-b226e80bea6f_2085x805.png",2024-01-10T06:35:23.711440565Z,
https://www.newyorker.com/magazine/2023/11/20/a-coder-considers-the-waning-days-of-the-craft?currentPage=all,A Coder Considers the Waning Days of the Craft | The New Yorker,Coding has always felt to me like an endlessly deep and rich domain. Now I find myself wanting to write a eulogy for it.,"https://media.newyorker.com/photos/654bf23c9d37df3d9f9cd353/16:9/w_1280,c_limit/231120_r43375.jpg",2024-01-11T05:19:10.633674005Z,
https://www.cairn.info/revue-i2d-information-donnees-et-documents-2023-1-page-83.htm,Knowledge Management et intelligence artificielle : le KM face à un « objet organisationnel non identifié » | Cairn.info,"Malgré des performances prometteuses, les machines fondées sur l’intelligence artificielle moderne constituent des « objets organisationnels non identifiés », en particulier parce qu’elles mobilisent, à l’image des travailleurs, une intelligence empirique. Les organisations vont devoir appréhender cette nouvelle relation travailleur-machine, c’est-à-dire aménager la cohabitation de deux formes d’intelligence empirique. Cette situation établit.",https://www.cairn.info/vign_rev/I2D/I2D_231.jpg,2024-01-11T05:27:24.703529917Z,
https://magazine.sebastianraschka.com/p/llm-training-rlhf-and-its-alternatives,LLM Training: RLHF and Its Alternatives,"I frequently reference a process called Reinforcement Learning with Human Feedback (RLHF) when discussing LLMs, whether in the research news or tutorials. RLHF is an integral part of the modern LLM training pipeline due to its ability to incorporate human preferences into the optimization landscape, which can improve the model's helpfulness and safety.","https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2Fe06a33c8-cdbd-4f5e-8380-86fb71a075c8_2216x1232.png",2024-01-12T05:41:00.702443869Z,https://news.ycombinator.com/item?id=37455859
https://deepmind.google/discover/blog/funsearch-making-new-discoveries-in-mathematical-sciences-using-large-language-models/,FunSearch: Making new discoveries in mathematical sciences using Large Language Models - Google DeepMind,"We introduce FunSearch, a method for searching for “functions” written in computer code, and find new solutions in mathematics and computer science. FunSearch works by pairing a pre-trained LLM, whose goal is to provide creative solutions in the form of computer code, with an automated “evaluator”, which guards against hallucinations and incorrect ideas.",https://lh3.googleusercontent.com/GC6SH0u6DyyCT9C1LH6XXmproSod7o5QGp9-Oe8BsuXyPzBlfcxFHX9pxXg69ZftEVU0Joga7tyo0VwQOSBBrugZ8qfl9_X-pgiH527p71S7DC32Jw=w1200-h630-n-nu,2024-01-13T05:08:18.463984591Z,https://news.ycombinator.com/item?id=38643076
https://kaitchup.substack.com/p/mixtral-8x7b-understanding-and-running,Mixtral-8x7B: Understanding and Running the Sparse Mixture of Experts by Mistral AI,How to efficiently outperform GPT-3.5 and Llama 2 70B using your computer,"https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F62d957d0-6a5f-4817-935c-73a88fcba730_800x512",2024-01-14T05:25:27.964779556Z,
https://www.thecaringtechie.com/p/why-influence-is-vital,Why influence without authority is a vital skill for anyone,"Whether you're an individual contributor or a leader, through proper influence you can get people to voluntarily comply, concede, or change. Who doesn't want that?","https://substackcdn.com/image/fetch/w_1200,h_600,c_fill,f_jpg,q_auto:good,fl_progressive:steep,g_auto/https%3A%2F%2Fsubstack-post-media.s3.amazonaws.com%2Fpublic%2Fimages%2F570e98fd-81a1-4583-999b-1243839d8705_662x454.png",2024-01-15T05:21:10.485628037Z,
https://www.hp.com/fr-fr/home.html,"Ordinateurs portables, Ordinateurs de bureau, Imprimantes, Encre et Toner | HP® France","HP ne cesse d'innover avec ses ordinateurs, imprimantes, accessoires et services pour répondre aux besoins des particuliers et des professionnels.",https://www.hp.com/content/dam/sites/worldwide/dems/hp_og_image.jpg,2024-01-15T10:01:54.742240801Z,
https://huggingface.co/blog/dpo-trl,Fine-tune Llama 2 with DPO,We’re on a journey to advance and democratize artificial intelligence through open source and open science.,https://huggingface.co/blog/assets/157_dpo_trl/dpo_thumbnail.png,2024-01-16T05:33:40.504242932Z,https://news.ycombinator.com/item?id=37054530
https://themarkup.org/hello-world/2024/01/06/what-happens-when-you-roleplay-with-chatgpt,What Happens When you Roleplay with ChatGPT – The Markup,"A conversation with Mingqian Zheng, Jiaxin Pei, and David Jurgens",https://mrkp-static-production.themarkup.org/uploads/2024/01/llm-roleplay-lead-v3-1200x628.jpg,2024-01-22T05:42:48.461514499Z,https://news.ycombinator.com/item?id=38899096
https://spectrum.ieee.org/chatgpt-new-york-times,The New York Times Wants ChatGPT Gone. Nice Try - IEEE Spectrum,Copyright murkiness is about the only sure thing that lies ahead,https://spectrum.ieee.org/media-library/3d-illustration-of-lit-squares-forming-the-letters-gpt-with-wires-intertwined-with-the-logo-of-the-ny-times.jpg?id=51001956&width=1200&height=600&coordinates=0%2C327%2C0%2C328,2024-01-22T05:45:27.13671812Z,
https://linkeddataorchestration.com/2023/12/13/how-linkedin-is-moving-towards-a-skills-based-economy-with-the-skills-graph/,How LinkedIn is moving towards a skills-based economy with the Skills Graph,"What is a skills-based economy and how is LinkedIn moving from vision to implementation? As LinkedIn Director of Engineering Sofus Macskássy shares, there’s AI, taxonomy, and ontology involved in building the Skills Graph that powers it. By George Anadiotis Skills are the new currency. That’s a bold statement, coming from LinkedIn CEO Ryan Roslansky. Roslansky makes […]",https://filedn.com/lAGFqCrfCf9p4SPhvQtCjAf/LDO%20WP%20Images/Posts/LinkedInSkillsGraph_2023/jumpstory-download20231213-132037.jpg,2024-01-22T06:03:39.842979022Z,
https://engineering.linkedin.com/blog/2023/extracting-skills-from-content-to-fuel-the-linkedin-skills-graph,Extracting skills from content to fuel the LinkedIn Skills Graph | LinkedIn Engineering,"Co-authors: Sofus Macskassy, Lu Sun, Di Zhou, Rui Kou and Zhuliu Li",https://engineering.linkedin.com/content/dam/engineering/site-assets/images/blog/posts/2023/12/skills3/image5.png,2024-01-22T06:04:35.701717932Z,
https://www.vox.com/technology/2023/7/19/23799255/head-of-ai-leadership-jobs,"AI jobs: No one knows what a head of AI does, but it’s the hottest new job - Vox",America’s biggest companies are hiring AI leadership as fast as they can.,https://cdn.vox-cdn.com/thumbor/h6aUi1lU2NwaSePsB80eibn7-fw=/0x477:6634x3950/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/24795339/GettyImages_1264127349.jpg,2024-01-23T05:50:58.424838015Z,
https://hbr.org/2024/01/how-to-sustain-your-empathy-in-difficult-times,How to Sustain Your Empathy in Difficult Times,"Empathic leadership is vital in today’s working world; in fact, employees demand it. But empathy can be emotionally and physically exhausting for managers. “I feel like I’m never enough,” one Fortune 100 executive recently said, “even in my empathy for my people. Anything going wrong with them means I’ve failed.” Not surprisingly, some managers believe they must make a choice: be empathic and sacrifice their personal well-being for the good of others, or back away and preserve their own emotional health. Fortunately, according to the author, a Stanford psychologist and neuroscientist, this dilemma is more apparent than real. He writes that managers can employ three strategies to lead empathically while maintaining their equilibrium. In this article he describes the strategies and presents a blueprint for the practice of what he calls sustainable empathy.",https://hbr.org/resources/images/article_assets/2023/11/R2401C_CHON.jpg,2024-01-23T05:52:01.434170333Z,
https://medium.com/@tenyks_blogger/computer-vision-is-already-evolving-3cd0e63e805b,"Computer Vision Pipeline v2.0. How Foundation Models are transforming… | by The Tenyks Blogger | Jan, 2024 | Medium",How Foundation Models are transforming the Computer Vision pipeline.,https://miro.medium.com/v2/resize:fit:1200/1*apXhX3D08pz2Ff1Ac-C9IQ.png,2024-01-25T15:05:32.303415066Z,
https://medium.com/@tenyks_blogger/ml-vs-mlops-engineer-key-differences-similarities-43d612bacdd9,ML vs MLOps Engineer — Key Differences & Similarities | by The Tenyks Blogger | Medium,We breakdown the responsibilities for ML Engineers & MLOps Engineers highlighting where they overlap and where they differ.,https://miro.medium.com/v2/resize:fit:1200/1*F0c9x-98e1Pcz9qynqH4GQ.png,2024-01-25T15:14:23.731890301Z,
